id,url,title,publisher,published_at,summary,jev_in_scope,jev_model,tactic_guess,tactic_confidence,country_guess,incident_id,fetched_at
3,https://rsf.org/en/usa-white-house-media-ban-robs-public-access-independent-presidential-coverage,USA: White House media ban robs public of access to independent presidential coverage,Reporters Without Borders,2026-09-22T04:23:25Z,"The Trump administration’s ban on CNN, MS NOW and Politico has disrupted television pool coverage of the presidency, leaving the public without the customary independent footage of President Donald Trump’s activities. Reporters Without Borders (RSF) condemns the White House’s arbitrary...",0.8314029121398926,featherless-ai/Qwen3.6-35B-A3B-classifier,access_ban,0.9984667301177979,US,,2026-09-22T22:07:17Z
4,https://www.primetimer.com/features/government-does-not-decide-what-the-press-reports-cnn-ms-now-and-politico-releases-statement-after-filing-a-lawsuit-against-the-white-house-ban,"""Government does not decide what the press reports"" - CNN, MS NOW and Politico release statement after filing a lawsuit against the White House ban",PRIMETIMER,2026-09-21T19:33:00Z,"CNN, Politico, and MS Now sued the Trump administration after their reporters were banned from the White House, alleging violations of First Amendment rights and press freedom.",0.8254618883132934,featherless-ai/Qwen3.6-35B-A3B-classifier,access_ban,0.977980375289917,US,,2026-09-22T22:07:17Z
6,https://knightcolumbia.org/content/knight-institute-to-support-banned-news-organizations-in-court,Knight Institute To Support Banned News Organizations in Court,Knight First Amendment Institute,2026-09-21T07:00:00Z,"WASHINGTON, CNN, MS NOW, and Politico announced this morning that they are suing President Trump and three advisors after the administration banned the news outlets from the White House and confiscated their reporters’ press credentials. The following can be attributed to...",0.9284885454177856,featherless-ai/Qwen3.6-35B-A3B-classifier,access_ban,0.8901432752609253,US,,2026-09-22T22:07:17Z
7,https://www.nytimes.com/live/2026/09/21/business/trump-white-house-cnn-politico-msnow,3 News Outlets Sue Trump in Widening Fight Over Press Freedom,The New York Times,2026-09-21T06:42:00Z,"After President Trump barred CNN, MS NOW and Politico from the White House, major TV networks suspended their shared coverage of the president.",0.8828725481033325,featherless-ai/Qwen3.6-35B-A3B-classifier,access_ban,0.9503517746925354,US,,2026-09-22T22:07:17Z
12,https://cpj.org/2026/09/leading-news-outlets-issue-statement-in-defense-of-a-us-free-press,Leading news outlets issue statement in defense of a US free press,Committee to Protect Journalists,2026-09-21T19:30:45Z,"New York, September 21, 2026, U.S.-based news organizations, including the Associated Press, Bloomberg, New York Times, Reuters, Wall Street Journal, and Washington Post have joined a statement affirming the importance of a free press after President Donald Trump barred journalists...",0.8085019791126251,featherless-ai/Qwen3.6-35B-A3B-classifier,access_ban,0.9971543550491333,US,,2026-09-22T22:07:17Z
14,https://www.msn.com/en-au/politics/government/this-threatens-press-freedom-cnn-ms-now-and-politico-sue-trump-over-white-house-ban/ar-AA2cHEU7,"'This threatens press freedom': CNN, MS Now, and Politico sue Trump over White House ban",News24,2026-09-21T16:29:22Z,The three American news outlets banned from the White House have announced they are suing the Trump administration.,0.8571186292171479,featherless-ai/Qwen3.6-35B-A3B-classifier,access_ban,0.5887194871902466,US,,2026-09-22T22:07:17Z
17,https://cpj.org/2026/09/guinea-bans-france-24-withdraws-jeune-afrique-correspondents-accreditation,"Guinea bans France 24, withdraws Jeune Afrique correspondent’s accreditation",Committee to Protect Journalists,2026-09-18T12:32:35Z,"Dakar, September 18, 2026, The Committee to Protect Journalists calls on Guinean authorities to reverse Thursday’s ban on France 24 after a presenter called President Mamadi Doumbouya a “putschist president“ and to reinstate the accreditation of the pan-African weekly Jeune...",0.9492811942100524,featherless-ai/Qwen3.6-35B-A3B-classifier,credential_control,0.6324441432952881,FR,,2026-09-22T22:07:17Z
21,https://www.tribuneindia.com/news/usa-news/pakistans-press-freedom-worsens-as-journalist-bilal-ghauri-detained-over-state-official-commentary,Pakistan’s press freedom worsens as journalist Bilal Ghauri detained over state official commentary,The Tribune,2026-09-10T05:27:00Z,Pakistani authorities have been urged to immediately release independent journalist Muhammad Bilal Ghauri and withdraw the cybercrime case against him over his online commentary concerning the ...,0.8558246159553528,featherless-ai/Qwen3.6-35B-A3B-classifier,detention_and_violence,0.9997401833534241,PK,,2026-09-22T22:07:17Z
24,https://cpj.org/2026/09/cpj-president-trumps-arbitrary-cnn-ms-now-politico-ban-violates-first-amendment-rights,"CPJ: President Trump’s arbitrary CNN, MS NOW, Politico ban violates First Amendment rights",Committee to Protect Journalists,2026-09-18T21:50:50Z,"Miami, September 18, 2026, President Donald Trump’s order to ban news outlets CNN, MS NOW and Politico from White House news coverage violates First Amendment rights and is an alarming escalation of how far this administration will go to control...",0.8762398028373718,featherless-ai/Qwen3.6-35B-A3B-classifier,access_ban,0.9998438358306885,US,,2026-09-22T22:07:17Z
25,https://freedom.press/issues/fpf-comments-on-trumps-media-ban-announcement,FPF comments on Trump’s media ban announcement,Freedom of the Press Foundation,2026-09-18T20:12:00Z,"FOR IMMEDIATE RELEASE: New York, Sept. 18, 2026, President Donald Trump announced today that he plans to ban MS NOW, Politico, and CNN from the White House. The following can be attributed to Seth Stern, chief of advocacy at Freedom...",0.8753527498245238,featherless-ai/Qwen3.6-35B-A3B-classifier,access_ban,0.9997115731239319,US,,2026-09-22T22:07:17Z
34,https://pressfreedomtracker.us/blog/overstayed-his-welcome,‘Overstayed his welcome’,U.S. Press Freedom Tracker,2026-09-21T18:18:14Z,"On December 21, 2018, as part of a brutal crackdown on the press by Daniel Ortega, Nicaragua’s leader, police raided the offices of 100% Noticias, a cable and online news station. That year, the country had been convulsed by protests...",0.9252737522125244,featherless-ai/Qwen3.6-35B-A3B-classifier,detention_and_violence,0.9824162721633911,NI,,2026-09-22T22:07:17Z
37,https://news.google.com/rss/articles/CBMi8AFBVV95cUxORXBOYWhOeFNXSTN4bV94UnR2Z2dkczREblI2ZmYzbzF6ZzVhUkR2ZjJacHJTUkp0c3Q2dnJsM2RlYmRkVXRLTTV3Vi12LVZ3ZEItWkhTU2dYMWJfWVZ4dnd2RE1PMS1Ha3FFdmRvNVlXa0Q2dDI1MEFjX1M4QnhfZDNXS2lhTEJGSXZWaWlkZnlJZ2pIekF1Y1dFdUhiU2dvcjBYVEl1d2dMcjlLV19EU2pzT19yLXhaa1NydWhlYVg5NGNkQ2d2UkJRc2ZwTkxnTHBlLUs3MlZsZ2I4eW5zMFZXOEJVeVN1MFNnVkgtZG4,Egypt: Sudanese journalist arrested over alleged social media post / FIP,International Federation of Journalists - IFJ,2026-09-15T07:23:45Z,,0.9017284703254699,featherless-ai/Qwen3.6-35B-A3B-classifier,detention_and_violence,0.9997215867042542,SD,,2026-09-22T22:07:17Z
41,https://news.google.com/rss/articles/CBMiswFBVV95cUxPcnM1RmVkZE1tRjRpTFNHUWpaaXVsMnUtTmhhY1B1M1dwQldYNVVYaElEMFZMWGJUYlNsdWxEaFBLOFd6el9TdmpFNlVadTZ0RFZjMkpEWmxJTDMxTzlWOVdQS3ZJdDZneVphMTBUaERyeElrQXdVVkVIUmVQR1loOTNOMWZmdG53Y1ZPbnpxWjd4MG9QTlgxZm50NlZkdWxwdWt1SElETlF1TlZuMHc3VERMNA,Journalist Arrested in Gabiley Amid Growing Concerns Over Press Freedom in Somaliland,FTL Somalia,2026-09-10T08:09:20Z,,0.8894708299636841,featherless-ai/Qwen3.6-35B-A3B-classifier,detention_and_violence,0.9996281862258911,,,2026-09-22T22:07:17Z
111,https://news.google.com/rss/articles/CBMitwFBVV95cUxPWDd2WEJtaWE3NjFHSXdlU3Y1dTJKSkRQb0FJMnl5VmtHb3pHVEg1RHdmQUtya0FyQ0xXRi1oa1JMMENWZVVFMGNzOTBnLVN6UHY1NHRhTk9NNlRhQm9TRVlRUFQxdHdBeFZoVmhaWlNfa013V2I0Z0QtTFpFVVR3c1RMdzZPNzM3LVlzSTItZUt4dUZuSm5GYXRlXy1jbnZTcEJzTmhjSURwUFB2SzBybUZ1YVFmVlU,3 media outlets sue Trump admin. over ban on White House coverage: 'This threatens press freedom',NBC News,2026-09-22T00:17:41Z,,0.9018829131126403,featherless-ai/Qwen3.6-35B-A3B-classifier,access_ban,0.8883712291717529,US,,2026-09-22T23:05:47Z
116,https://www.yahoo.com/news/politics/articles/americans-love-free-press-terms-173234468.html,"Americans Love A Free Press, With Terms And Conditions",Yahoo,2026-09-22T10:32:00Z,"As President Trump bars CNN, MS NOW and Politico from White House grounds, a study finds that people are torn over press freedoms.",0.8668467724323272,featherless-ai/Qwen3.6-35B-A3B-classifier,access_ban,0.9995546936988831,US,,2026-09-22T23:05:47Z
120,https://news.google.com/rss/articles/CBMifEFVX3lxTE4zQXF3ekVZZWlrcU00Q21pWmlDU2U2SmZNNFY3TzV1OHVoUmlrbUpJMFNlSGptc29yOHVDdU1uZU9RR2ZPaFRBclg1N3d0ajRJSmZHX1hsaXk2cE52bG84Q2U4ajZLOUNxSnRWRFZrNjFLX0pGYy1WUGt2ZGU,"MS NOW, CNN, Politico reporters barred from White House after Trump announces ban",AOL.com,2026-09-19T18:45:14Z,,0.8515729999542235,featherless-ai/Qwen3.6-35B-A3B-classifier,access_ban,0.9998384714126587,US,,2026-09-22T23:05:47Z
128,https://news.google.com/rss/articles/CBMiggFBVV95cUxPLXQ4S045TEtXYmtrTWh6bFQtZks0N0dzUVVsQmJFU1Z5UWdOWkEyZEM5cWlwZ251bTNJbmgyT0g1b0JrN2U2T1ZKUnVMNHlEQmhoRFFxa2RLVWwtNVplNXdVNF81TG45bE1SX21qLXFpMGFqS0FzZm5vTnJHNDdLY0pn,"Trump Administration Updates: CNN, Politico and MS NOW Reporters Barred From White House",The New York Times,2026-09-21T07:00:00Z,,0.8273609387874603,featherless-ai/Qwen3.6-35B-A3B-classifier,access_ban,0.9998220801353455,US,,2026-09-22T23:05:47Z
183,https://cpj.org/2026/09/drc-journalist-arrested-on-allegations-of-defaming-musician-fally-ipupa,DRC journalist arrested on allegations of defaming musician Fally Ipupa,Committee to Protect Journalists,2026-09-23T09:54:39Z,"Kinshasa, September 23, 2026, The Committee to Protect Journalists urges authorities in the Democratic Republic of the Congo to immediately release music journalist Virginie Manganga, who was arrested on Sunday for her interview with a woman who alleged that she...",0.8495549046993255,featherless-ai/Qwen3.6-35B-A3B-classifier,detention_and_violence,0.9937332272529602,CD,,2026-09-23T10:05:43Z
